,longest_idle_time,score,extra_data,goal,calorie,run_time,deviceuuid,update_time,longest_active_time,day_time,walk_time,pkg_name,active_time,distance,others_time,step_count,datauuid,create_time
821,27780000,125,dd3b7b9e-c7e5-4a7e-abd9-bf2035ea1d2d.extra_data.json,60,390.96997000000005,79496,jQfnryI8/B,2016-08-06 15:17:22.892,540000,1470268800000,4450181,com.sec.android.app.shealth,4529677,6232.299,0,7858,dd3b7b9e-c7e5-4a7e-abd9-bf2035ea1d2d,2016-08-04 07:00:00.597
822,11520000,0,dd8f1626-032a-4d66-8bd6-007998ff9427.extra_data.json,-1,707.4001,200778,jQfnryI8/B,2017-12-29 20:01:32.991,780000,1514419200000,10111830,com.sec.android.app.shealth,10312608,12226.832,0,16454,dd8f1626-032a-4d66-8bd6-007998ff9427,2017-12-28 08:11:48.183
823,17460000,0,de05523b-bafb-4c06-a07b-0a80df8ecce5.extra_data.json,-1,533.4107,9016,jQfnryI8/B,2018-03-21 09:53:45.053,2372971,1521504000000,5384102,com.sec.android.app.shealth,6593118,5987.1353,1200000,8872,de05523b-bafb-4c06-a07b-0a80df8ecce5,2018-03-20 04:53:02.055
824,15000000,0,de6c408d-18ca-4273-89d4-c33f0c4a58c4.extra_data.json,-1,452.20455999999996,40621,jQfnryI8/B,2018-08-10 23:54:15.007,914990,1533772800000,6326054,com.sec.android.app.shealth,6366675,7929.085,0,10311,de6c408d-18ca-4273-89d4-c33f0c4a58c4,2018-08-09 04:00:01.227
825,23880000,160,de6f931c-b677-4dab-ad26-bb62498490a9.extra_data.json,60,473.62482,9646,jQfnryI8/B,2018-12-11 13:17:49.889,3996208,1544400000000,1885309,com.sec.android.app.shealth,5841312,2089.001,3946357,4775,de6f931c-b677-4dab-ad26-bb62498490a9,2018-12-10 05:00:00.790
826,34980000,0,ded30968-01a2-4669-9d6c-9f40ad1b6724.extra_data.json,-1,269.28997999999996,23511,jQfnryI8/B,2016-11-12 07:55:02.659,840000,1478822400000,3940137,com.sec.android.app.shealth,3963648,4831.22,0,6141,ded30968-01a2-4669-9d6c-9f40ad1b6724,2016-11-11 08:00:02.401
827,23400000,0,df0d36be-6099-47d8-aacc-8817cf7c07ff.extra_data.json,-1,48.13,7600,jQfnryI8/B,2017-08-13 00:15:01.486,60000,1502496000000,699016,com.sec.android.app.shealth,706616,882.74,0,1067,df0d36be-6099-47d8-aacc-8817cf7c07ff,2017-08-12 04:04:49.938
828,52980000,0,df532907-3b50-463e-8463-8a42c24a5298.extra_data.json,-1,473.86002,483432,jQfnryI8/B,2016-07-21 04:54:22.113,540000,1468972800000,4145228,com.sec.android.app.shealth,4628660,7051.11,0,8401,df532907-3b50-463e-8463-8a42c24a5298,2016-07-20 07:00:38.800
829,29880000,0,df61f1c9-b9db-414a-a495-e124da8d5585.extra_data.json,-1,284.91006,66972,jQfnryI8/B,2017-05-14 21:43:53.997,420000,1494720000000,3979320,com.sec.android.app.shealth,4046292,5192.759,0,6539,df61f1c9-b9db-414a-a495-e124da8d5585,2017-05-14 04:00:05.994
830,35580000,46,dfe03c14-fb9b-4642-937c-da2450a3d42e.extra_data.json,60,109.24,800,jQfnryI8/B,2018-10-08 23:18:18.342,60000,1538870400000,1708824,com.sec.android.app.shealth,1709624,1958.4102,0,2586,dfe03c14-fb9b-4642-937c-da2450a3d42e,2018-10-07 05:39:05.755
