,longest_idle_time,score,goal,calorie,run_time,deviceuuid,update_time,longest_active_time,day_time,walk_time,active_time,distance,others_time,step_count,create_time
406,25860000,163,60,437.07004000000006,142808,jQfnryI8/B,2016-06-28 00:52:41.488,420000,1466985600000,5812526,5955334,7895.4517,0,9932,2016-06-27 07:00:01.631
407,33840000,0,-1,261.83002,24698,jQfnryI8/B,2016-10-04 04:27:26.813,420000,1475452800000,3547547,3572245,4559.0605,0,5940,2016-10-03 07:00:44.546
408,17640000,0,-1,706.5951,26645,jQfnryI8/B,2018-03-07 13:10:17.133,2252158,1520208000000,7566626,9845429,8675.747,2252158,13471,2018-03-05 05:00:29.861
409,27180000,0,-1,173.15993999999995,18727,jQfnryI8/B,2017-05-27 02:54:59.929,240000,1495756800000,2590405,2609132,3192.2305,0,4024,2017-05-26 04:15:01.851
410,37380000,0,-1,60.26,800,jQfnryI8/B,2016-09-26 04:19:24.594,120000,1474761600000,925069,925869,1098.94,0,1397,2016-09-25 07:02:40.447
411,25680000,0,-1,276.58997,23719,jQfnryI8/B,2017-10-02 23:46:02.861,660000,1506902400000,3517912,3541631,4806.6387,0,6138,2017-10-02 04:01:10.730
412,38700000,135,60,331.8798,18000,jQfnryI8/B,2016-10-03 03:35:00.992,900000,1475366400000,4861050,4879050,6121.8477,0,7878,2016-10-02 07:00:48.134
413,26700000,135,60,359.55,63265,jQfnryI8/B,2016-07-08 06:15:00.653,600000,1467849600000,4820637,4883902,6293.0293,0,7889,2016-07-07 07:00:04.417
414,25560000,0,-1,729.62775,1515848,jQfnryI8/B,2018-08-13 16:27:08.662,1490193,1534032000000,3389673,6105521,8485.533000000001,1200000,8952,2018-08-12 04:00:01.375
415,24300000,61,60,146.67004,2400,jQfnryI8/B,2018-10-24 14:07:20.999,120000,1540080000000,2231025,2233425,2534.0796,0,3383,2018-10-21 04:00:01.599
416,23760000,0,-1,296.10007,218557,jQfnryI8/B,2017-04-07 00:55:01.609,300000,1491436800000,3481575,3700132,5012.5996,0,6186,2017-04-06 04:00:01.613
417,69480000,41,60,166.28001,132246,jQfnryI8/B,2016-07-23 03:01:58.162,840000,1469145600000,1391370,1523616,2327.08,0,2797,2016-07-22 07:00:37.070
418,19920000,0,-1,588.232,11773,jQfnryI8/B,2018-05-29 14:32:39.902,989459,1527465600000,8656510,8668283,10325.756,0,13676,2018-05-28 04:00:01.082
419,14520000,0,-1,614.74854,85525,jQfnryI8/B,2018-02-10 11:10:36.775,3827783,1518134400000,3423102,7336410,4101.6187,3827783,7446,2018-02-09 06:42:05.263
420,28860000,0,-1,173.41995,24852,jQfnryI8/B,2017-03-22 01:06:22.652,300000,1490054400000,2543491,2568343,3211.4297,0,4132,2017-03-21 04:00:01.380
421,22620000,0,-1,587.0031,111997,jQfnryI8/B,2018-02-05 11:06:00.081,4047925,1517702400000,3132822,7285759,3617.699,4040940,7402,2018-02-04 05:18:20.113
422,15540000,0,-1,606.4374,59895,jQfnryI8/B,2018-04-17 11:28:16.561,811968,1523836800000,8955373,9015268,10633.178999999998,0,14212,2018-04-16 04:00:00.597
423,28560000,0,-1,382.11,26024,jQfnryI8/B,2016-12-11 03:35:00.661,840000,1481328000000,5164571,5190595,6858.138000000001,0,8891,2016-12-10 08:00:01.990
424,40380000,251,60,693.3999,209457,jQfnryI8/B,2016-07-13 06:55:01.241,900000,1468281600000,8935157,9144614,12523.063999999997,0,15613,2016-07-12 07:15:00.372
425,28140000,0,-1,329.46994,7600,jQfnryI8/B,2016-11-09 05:27:01.341,1920000,1478563200000,4828884,4836484,6132.851,0,7902,2016-11-08 08:00:01.636
426,43920000,0,-1,22.550001,2400,jQfnryI8/B,2017-10-16 00:55:01.771,60000,1508025600000,334774,337174,423.09,0,523,2017-10-15 04:00:01.529
427,23940000,0,-1,318.59003,17282,jQfnryI8/B,2018-07-06 12:38:28.718,900000,1530662400000,2838074,3755356,3362.98,900000,4430,2018-07-04 04:00:00.693
428,40020000,0,-1,283.9099700000001,28663,jQfnryI8/B,2017-02-27 06:17:38.590,480000,1488067200000,4050600,4079263,5142.879,0,6581,2017-02-26 08:01:10.402
429,19980000,0,-1,553.6224,37099,jQfnryI8/B,2018-03-22 11:57:37.443,913667,1521590400000,8196119,8233218,9451.011,0,12781,2018-03-21 04:00:01.719
430,17940000,0,-1,98.00998,6000,jQfnryI8/B,2018-08-17 21:17:49.086,240000,1534377600000,1455851,1461851,1782.0312,0,2288,2018-08-16 04:20:22.033
431,28500000,0,-1,62.47999599999999,25200,jQfnryI8/B,2016-06-25 14:40:10.770,60000,1466035200000,824412,849612,1075.21,0,1299,2016-06-25 14:40:10.770
432,28980000,0,-1,304.12006,178506,jQfnryI8/B,2016-06-25 14:40:11.258,120000,1466467200000,3600280,3778786,5044.7095,0,5924,2016-06-25 14:40:11.258
433,21480000,0,-1,126.81655,4800,jQfnryI8/B,2018-07-09 13:51:15.509,626337,1531008000000,1983815,1988615,2247.9841,0,3099,2018-07-08 04:00:00.966
434,24840000,300,60,833.61365,19843,jQfnryI8/B,2018-11-17 15:49:32.544,4650668,1542067200000,6202324,10872835,7336.64,4650668,11296,2018-11-13 05:00:00.695
435,30600000,0,-1,347.10983,43394,jQfnryI8/B,2016-08-04 04:44:16.180,360000,1470182400000,4819008,4862402,6302.4090000000015,0,8115,2016-08-03 07:00:05.848
436,24300000,0,-1,370.78003,97302,jQfnryI8/B,2017-11-23 02:01:42.653,540000,1511308800000,4862070,4959372,6524.4824,0,8239,2017-11-22 05:00:15.317
