,heart_rate,deviceuuid,max,min,time_offset,local_start_time,local_end_time
1071,62.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-10-12 21:50:29.314,2018-10-12 21:50:29.314
1072,51.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-05-31 03:30:29.296,2018-05-31 03:30:29.296
1073,57.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-11-10 19:50:29.266,2018-11-10 19:50:29.266
1074,68.0,F/D7+hL5E5,0.0,0.0,UTC+0200,2018-08-27 22:40:29.269,2018-08-27 22:40:29.269
1075,54.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-09-29 23:40:29.267,2018-09-29 23:40:29.267
1076,54.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-11-16 00:00:29.274,2018-11-16 00:00:29.274
1077,65.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-08-18 20:50:29.323,2018-08-18 20:50:29.323
1078,62.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-12-19 01:30:29.321,2018-12-19 01:30:29.321
1079,63.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-10-09 04:30:29.296,2018-10-09 04:30:29.296
1080,73.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-11-14 14:40:48.292,2018-11-14 14:40:48.292
1081,56.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-12-30 03:40:29.302,2018-12-30 03:40:29.302
1082,63.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-07-30 06:50:29.324,2018-07-30 06:50:29.324
1083,65.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-10-15 13:40:29.255,2018-10-15 13:40:29.255
1084,59.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-07-03 22:00:37.277,2018-07-03 22:00:37.277
1085,54.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-05-31 10:21:04.242,2018-05-31 10:21:04.242
1086,55.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-07-14 04:20:29.257,2018-07-14 04:20:29.257
1087,59.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-11-05 22:50:29.290,2018-11-05 22:50:29.290
1088,67.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-09-27 20:10:40.295,2018-09-27 20:10:40.295
1089,56.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-12-25 04:10:29.292,2018-12-25 04:10:29.292
1090,50.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-11-11 05:11:03.035,2018-11-11 05:11:03.035
1091,51.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-10-03 01:10:51.533,2018-10-03 01:10:51.533
1092,56.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-07-05 15:40:53.121,2018-07-05 15:40:53.121
1093,58.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-08-11 06:20:59.119,2018-08-11 06:20:59.119
1094,58.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-08-07 17:40:29.281,2018-08-07 17:40:29.281
1095,51.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-12-23 05:00:51.494,2018-12-23 05:00:51.494
1096,61.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-11-23 21:50:40.441,2018-11-23 21:50:40.441
1097,59.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-11-03 07:10:29.281,2018-11-03 07:10:29.281
1098,60.0,F/D7+hL5E5,0.0,0.0,UTC+0200,2018-08-27 16:50:29.244,2018-08-27 16:50:29.244
1099,50.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-11-21 01:00:29.246,2018-11-21 01:00:29.246
1100,64.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-09-09 06:10:29.312,2018-09-09 06:10:29.312
1101,45.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2017-12-16 00:20:29.423,2017-12-16 00:20:29.423
1102,55.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-07-21 03:10:51.523,2018-07-21 03:10:51.523
1103,68.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-09-05 20:23:11.257,2018-09-05 20:23:11.257
1104,62.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-09-05 23:00:29.245,2018-09-05 23:00:29.245
1105,62.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-07-01 05:40:29.287,2018-07-01 05:40:29.287
1106,73.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-07-31 11:10:29.317,2018-07-31 11:10:29.317
1107,59.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-10-04 07:40:58.666,2018-10-04 07:40:58.666
1108,47.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-12-13 23:40:51.457,2018-12-13 23:40:51.457
1109,50.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-06-22 06:00:51.475,2018-06-22 06:00:51.475
1110,57.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-08-01 04:50:29.323,2018-08-01 04:50:29.323
1111,61.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-07-23 01:10:51.488,2018-07-23 01:10:51.488
1112,52.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-10-08 12:50:58.475,2018-10-08 12:50:58.475
1113,59.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-11-02 11:10:29.328,2018-11-02 11:10:29.328
1114,62.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-07-18 08:40:29.329,2018-07-18 08:40:29.329
1115,66.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-10-05 22:10:29.237,2018-10-05 22:10:29.237
1116,65.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-11-22 00:10:58.468,2018-11-22 00:10:58.468
1117,56.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-10-07 06:30:29.268,2018-10-07 06:30:29.268
1118,59.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-12-01 00:10:29.324,2018-12-01 00:10:29.324
1119,70.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-09-19 22:50:29.258,2018-09-19 22:50:29.258
1120,64.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-10-31 10:10:29.254,2018-10-31 10:10:29.254
1121,69.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-09-03 13:41:08.472,2018-09-03 13:41:08.472
1122,71.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-07-16 16:30:29.263,2018-07-16 16:30:29.263
1123,63.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-12-01 23:50:29.309,2018-12-01 23:50:29.309
1124,56.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-07-25 22:20:29.295,2018-07-25 22:20:29.295
1125,66.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-10-11 20:30:29.296,2018-10-11 20:30:29.296
1126,46.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-07-24 01:40:29.327,2018-07-24 01:40:29.327
1127,49.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-10-12 01:50:51.525,2018-10-12 01:50:51.525
1128,71.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-09-21 17:40:29.252,2018-09-21 17:40:29.252
1129,63.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-09-12 04:40:29.309,2018-09-12 04:40:29.309
1130,53.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-08-30 01:40:29.272,2018-08-30 01:40:29.272
1131,76.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-11-20 10:21:04.829,2018-11-20 10:21:04.829
1132,60.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-05-31 15:21:14.617,2018-05-31 15:21:14.617
1133,65.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-06-23 15:20:29.258,2018-06-23 15:20:29.258
1134,48.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-06-07 03:40:29.326,2018-06-07 03:40:29.326
1135,57.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-06-16 01:10:29.264,2018-06-16 01:10:29.264
1136,52.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-08-17 02:00:29.246,2018-08-17 02:00:29.246
1137,56.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-12-30 00:00:29.295,2018-12-30 00:00:29.295
1138,65.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-04-08 13:51:17.054,2018-04-08 13:51:17.054
1139,48.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2017-12-16 07:06:16.860,2017-12-16 07:06:16.860
1140,66.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-08-06 23:00:29.300,2018-08-06 23:00:29.300
1141,69.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-12-18 13:10:29.267,2018-12-18 13:10:29.267
1142,53.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-12-03 03:50:29.241,2018-12-03 03:50:29.241
1143,71.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-05-26 23:50:29.305,2018-05-26 23:50:29.305
1144,50.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-11-22 22:10:29.275,2018-11-22 22:10:29.275
1145,54.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-07-19 23:00:29.237,2018-07-19 23:00:29.237
1146,58.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-07-28 23:00:29.261,2018-07-28 23:00:29.261
1147,67.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-12-06 03:20:58.506,2018-12-06 03:20:58.506
1148,57.0,F/D7+hL5E5,0.0,0.0,UTC+0200,2018-08-21 22:30:29.251,2018-08-21 22:30:29.251
1149,52.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-06-22 02:50:29.287,2018-06-22 02:50:29.287
1150,67.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-07-02 18:10:29.255,2018-07-02 18:10:29.255
1151,56.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-10-30 04:10:29.270,2018-10-30 04:10:29.270
1152,54.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-08-10 04:50:29.260,2018-08-10 04:50:29.260
1153,64.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-01-27 02:20:29.288,2018-01-27 02:20:29.288
1154,72.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-09-07 01:00:51.522,2018-09-07 01:00:51.522
1155,57.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-05-30 05:50:29.292,2018-05-30 05:50:29.292
1156,61.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-07-18 03:30:29.289,2018-07-18 03:30:29.289
1157,56.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-09-30 17:40:29.241,2018-09-30 17:40:29.241
1158,67.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-11-25 15:40:29.319,2018-11-25 15:40:29.319
1159,63.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-10-03 02:30:29.301,2018-10-03 02:30:29.301
1160,63.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-07-02 12:20:51.531,2018-07-02 12:20:51.531
1161,63.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-11-25 23:00:29.290,2018-11-25 23:00:29.290
1162,61.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-09-03 21:40:29.284,2018-09-03 21:40:29.284
1163,54.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-09-30 21:10:58.457,2018-09-30 21:10:58.457
1164,68.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-08-15 08:40:37.556,2018-08-15 08:40:37.556
1165,64.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-12-18 15:00:46.370,2018-12-18 15:00:46.370
1166,55.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-05-24 02:10:29.316,2018-05-24 02:10:29.316
1167,67.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-06-19 12:30:59.207,2018-06-19 12:30:59.207
1168,74.0,F/D7+hL5E5,0.0,0.0,UTC+0200,2018-08-28 17:00:31.820,2018-08-28 17:00:31.820
1169,69.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-08-18 20:10:48.209,2018-08-18 20:10:48.209
1170,46.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-06-18 05:20:51.526,2018-06-18 05:20:51.526
1171,51.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-11-30 07:40:29.311,2018-11-30 07:40:29.311
