,altitude_loss,max_altitude,count,altitude_gain,duration,deviceuuid,max_heart_rate,mean_heart_rate,max_cadence,time_offset,incline_distance,exercise_type,decline_distance,max_speed,calorie,mean_cadence,mean_speed,min_altitude,min_heart_rate,count_type,distance,local_start_time,local_end_time
45,,,,,64.0363,F/D7+hL5E5,170.0,122.0,0.0,UTC-0400,0.0,custom,0.0,,340.67,0.0,0.0,,84.0,nan,0.0,2018-07-09 17:56:00.177,2018-07-09 19:00:04.849
50,,,,,58.806983333333335,F/D7+hL5E5,164.0,127.0,0.0,UTC-0400,0.0,custom,0.0,,312.8520000000001,0.0,0.0,,82.0,nan,0.0,2018-09-06 19:01:30.196,2018-09-06 20:00:20.037
53,,,,,48.999633333333335,F/D7+hL5E5,178.0,129.0,0.0,UTC-0400,0.0,custom,0.0,,260.664,0.0,0.0,,82.0,nan,0.0,2018-07-18 18:02:35.681,2018-07-18 18:51:38.395
54,,,,,56.706266666666664,F/D7+hL5E5,145.0,117.0,0.0,UTC-0400,0.0,custom,0.0,,301.468,0.0,0.0,,84.0,nan,0.0,2018-07-30 17:38:48.056,2018-07-30 18:35:32.187
57,,,0.0,,30.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,252.0,,0.0,,,repetition,0.0,2018-10-23 06:11:00.000,2018-10-23 06:41:00.000
60,,,,,67.06341666666667,F/D7+hL5E5,189.0,124.0,0.0,UTC-0400,0.0,custom,0.0,,356.7530000000001,0.0,0.0,,77.0,nan,0.0,2018-09-13 17:31:35.946,2018-09-13 18:38:41.967
61,,,0.0,,40.0,jQfnryI8/B,,,,UTC-0400,,cycling,,,380.0,,0.0,,,repetition,0.0,2018-06-26 20:01:00.000,2018-06-26 20:41:00.000
63,,76.53,,,29.259016666666668,F/D7+hL5E5,180.0,149.0,177.601,UTC-0400,1043.382,running,1056.72,4.532,427.148,133.58736000000002,2.4381006000000003,20.286,104.0,nan,4272.92,2018-07-20 08:04:43.174,2018-07-20 08:36:10.024
69,,,,,10.0,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,cycling,,,112.0,0.0,,,0.0,nan,,2018-02-24 13:51:41.242,2018-02-24 14:01:41.242
71,,,0.0,,24.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,201.0,,0.0,,,repetition,0.0,2018-04-21 07:22:00.000,2018-04-21 07:46:00.000
74,,,,,13.906133333333333,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,walking,,1.8055556,56.08,0.0,1.5351576999999998,,0.0,nan,962.42,2018-11-23 08:01:40.368,2018-11-23 08:15:34.736
76,,,0.0,,30.0,jQfnryI8/B,,,,UTC-0500,,swimming,,,252.0,,0.0,,,repetition,0.0,2018-03-01 17:25:00.000,2018-03-01 17:55:00.000
77,,,0.0,,50.0,jQfnryI8/B,,,,UTC-0500,,swimming,,,420.0,,0.0,,,repetition,0.0,2018-11-22 06:54:00.000,2018-11-22 07:44:00.000
80,,,,,72.00203333333333,F/D7+hL5E5,156.0,120.0,0.0,UTC-0500,0.0,custom,0.0,,382.917,0.0,0.0,,86.0,nan,0.0,2018-12-15 11:40:56.106,2018-12-15 12:53:03.535
81,,,,,56.569266666666664,F/D7+hL5E5,147.0,119.0,0.0,UTC-0400,0.0,custom,0.0,,300.886,0.0,0.0,,87.0,nan,0.0,2018-10-06 18:14:46.597,2018-10-06 19:11:23.200
82,,,,,34.180683333333334,F/D7+hL5E5,214.0,137.0,0.0,UTC-0400,0.0,custom,0.0,,181.647,0.0,0.0,,80.0,nan,0.0,2018-09-04 17:16:39.697,2018-09-04 17:50:51.309
86,,,,,12.78765,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,walking,,1.7777778000000002,57.68,0.0,1.6369411,,0.0,nan,967.139,2018-11-28 20:53:00.065,2018-11-28 21:05:47.324
87,,,,,11.366366666666666,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,custom,,,63.77,0.0,,,0.0,nan,,2018-12-29 19:27:59.640,2018-12-29 19:39:21.622
96,,,,,0.13825,F/D7+hL5E5,70.0,70.0,0.0,UTC-0800,0.0,custom,0.0,,0.715,0.0,0.0,,69.0,nan,0.0,2017-12-29 12:15:21.996,2017-12-29 12:15:34.817
97,,,,,12.953216666666666,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,walking,,1.9722222,55.78,0.0,1.5550165,,0.0,nan,977.23,2018-11-06 17:32:12.512,2018-11-06 17:45:09.705
100,,,,,17.249666666666666,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,walking,,1.7222221999999998,81.44,0.0,1.5059979,,0.0,nan,1210.28,2018-12-14 18:01:51.457,2018-12-14 18:19:06.437
102,,,,,56.51988333333333,F/D7+hL5E5,161.0,128.0,0.0,UTC-0400,0.0,custom,0.0,,300.644,0.0,0.0,,88.0,nan,0.0,2018-05-31 16:56:44.351,2018-05-31 17:53:17.055
108,,,,,41.19195,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,cycling,,,461.349,0.0,,,0.0,nan,,2018-02-24 12:47:46.997,2018-02-24 13:28:58.514
113,,,,,32.444066666666664,F/D7+hL5E5,170.0,115.0,0.0,UTC-0500,0.0,custom,0.0,,172.585,0.0,0.0,,72.0,nan,0.0,2018-02-03 10:30:52.690,2018-02-03 11:03:21.739
115,,,,,49.40651666666667,F/D7+hL5E5,164.0,120.0,0.0,UTC-0400,0.0,custom,0.0,,262.752,0.0,0.0,,75.0,nan,0.0,2018-08-31 18:58:07.537,2018-08-31 19:47:33.304
116,,,0.0,,20.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,168.0,,0.0,,,repetition,0.0,2018-09-11 07:15:00.000,2018-09-11 07:35:00.000
120,,,0.0,,30.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,252.0,,0.0,,,repetition,0.0,2018-10-15 07:33:00.000,2018-10-15 08:03:00.000
123,,,,,13.351133333333333,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,walking,,2.5277777,68.02,0.0,1.5865733999999998,,0.0,nan,1022.341,2018-01-22 07:55:08.736,2018-01-22 08:08:29.804
124,,,0.0,,30.0,jQfnryI8/B,,,,UTC-0500,,swimming,,,252.0,,0.0,,,repetition,0.0,2018-02-15 07:25:00.000,2018-02-15 07:55:00.000
126,,,,,20.20395,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,walking,,2.0277777,94.94,0.0,1.559613,,0.0,nan,1387.88,2018-12-18 18:33:50.484,2018-12-18 18:54:02.721
