,efficiency,quality,time_offset,deviceuuid,local_start_time,local_end_time
38,87.61905,,UTC+0200,F/D7+hL5E5,2018-08-23 00:02:00,2018-08-23 07:13:00
39,87.87591,,UTC-0400,F/D7+hL5E5,2018-10-08 22:47:00,2018-10-09 06:53:00
40,91.86813,,UTC-0400,F/D7+hL5E5,2018-03-23 21:55:00,2018-03-24 05:29:00
42,90.49881,,UTC-0400,F/D7+hL5E5,2018-10-11 22:02:00,2018-10-12 05:02:00
43,93.90863,,UTC-0400,F/D7+hL5E5,2018-05-31 23:27:00,2018-06-01 06:00:00
44,89.61056851851852,,UTC-0500,F/D7+hL5E5,2019-01-02 03:51:00,2019-01-02 06:23:00
45,94.57505,50004.0,UTC-0500,F/D7+hL5E5,2018-02-26 21:50:00,2018-02-27 07:02:00
46,90.97104,,UTC-0500,F/D7+hL5E5,2018-12-22 22:40:00,2018-12-23 08:27:00
47,96.57258,50005.0,UTC-0500,F/D7+hL5E5,2018-03-08 22:26:00,2018-03-09 06:42:00
48,91.2,,UTC-0500,F/D7+hL5E5,2018-12-31 23:55:00,2019-01-01 08:14:00
49,91.34948,,UTC-0400,F/D7+hL5E5,2018-04-05 22:50:00,2018-04-06 03:38:00
50,91.30435,,UTC-0500,F/D7+hL5E5,2018-01-07 06:21:00,2018-01-07 09:01:00
51,92.5734,,UTC-0500,F/D7+hL5E5,2018-11-30 22:45:00,2018-12-01 08:24:00
52,77.77778,,UTC-0400,F/D7+hL5E5,2018-10-07 15:28:00,2018-10-07 16:57:00
53,89.93964,,UTC-0400,F/D7+hL5E5,2018-07-31 22:10:00,2018-08-01 06:26:00
54,92.78847,,UTC-0400,F/D7+hL5E5,2018-04-01 23:15:00,2018-04-02 06:10:00
55,94.902916,,UTC-0500,F/D7+hL5E5,2017-12-16 00:02:00,2017-12-16 06:53:00
56,82.75148536155203,,UTC-0500,F/D7+hL5E5,2018-12-14 22:28:00,2018-12-15 07:55:00
58,92.65873,,UTC-0500,F/D7+hL5E5,2018-01-31 22:14:00,2018-02-01 06:37:00
59,94.43156,,UTC-0400,F/D7+hL5E5,2018-07-11 22:59:00,2018-07-12 06:09:00
60,87.37270798778005,,UTC-0400,F/D7+hL5E5,2018-05-28 22:25:00,2018-05-29 06:36:00
61,95.9799,50003.0,UTC-0500,F/D7+hL5E5,2018-02-25 23:16:00,2018-02-26 05:53:00
62,93.283585,,UTC+0200,F/D7+hL5E5,2018-08-25 12:01:00,2018-08-25 14:14:00
63,91.09870434782609,,UTC-0400,F/D7+hL5E5,2018-04-30 23:47:00,2018-05-01 06:41:00
64,92.77389,,UTC-0400,F/D7+hL5E5,2018-06-10 23:02:00,2018-06-11 06:23:00
65,93.34917,,UTC-0500,F/D7+hL5E5,2018-01-09 22:55:00,2018-01-10 05:55:00
66,94.31372,,UTC-0400,F/D7+hL5E5,2018-10-03 23:05:00,2018-10-04 07:34:00
69,90.909096,,UTC-0400,F/D7+hL5E5,2018-05-29 22:53:00,2018-05-30 02:11:00
70,90.423164,,UTC-0500,F/D7+hL5E5,2018-12-19 23:20:00,2018-12-20 06:48:00
71,93.952484,,UTC-0400,F/D7+hL5E5,2018-03-27 22:44:00,2018-03-28 06:26:00
72,91.19122549159664,,UTC-0400,F/D7+hL5E5,2018-05-30 22:15:00,2018-05-31 06:11:00
73,95.34314,,UTC-0400,F/D7+hL5E5,2018-10-24 22:46:00,2018-10-25 05:33:00
74,92.07317,,UTC-0400,F/D7+hL5E5,2018-05-25 21:57:00,2018-05-26 06:09:00
75,92.821785,,UTC-0400,F/D7+hL5E5,2018-05-21 00:06:00,2018-05-21 06:49:00
76,88.29175,,UTC-0400,F/D7+hL5E5,2018-08-07 22:29:00,2018-08-08 07:09:00
77,89.43489,,UTC-0400,F/D7+hL5E5,2018-07-23 23:45:00,2018-07-24 06:42:00
78,93.174065,,UTC-0500,F/D7+hL5E5,2017-12-19 22:55:00,2017-12-20 03:48:00
