,date,total_sleep_duration_hr,mean_sleep_efficiency,mean_sleep_quality,total_step_count,total_step_distance,total_step_calorie,mean_step_speed,mean_heart_rate,max_heart_rate,min_heart_rate,mean_exercises_heart_rate,mean_cadence,mean_exercises_speed,max_altitude,max_exercises_heart_rate,max_cadence,max_exercises_speed,min_altitude,min_exercises_heart_rate,altitude_loss,total_exercises_rep_count,altitude_gain,total_exercises_duration,incline_distance,decline_distance,total_exercises_calorie,total_exercises_distance
73,2018-03-07,9.1,92.50457,50004.0,,,,,,,,0.0,0.0,0.79884385,,0.0,0.0,1.7222221999999998,,0.0,0.0,0.0,0.0,37.36228333333334,0.0,0.0,268.79,986.62
74,2018-03-08,6.116666666666666,92.66304,50003.0,,,,,,,,139.0,0.0,0.0,,193.0,0.0,,,70.0,0.0,0.0,0.0,42.5052,0.0,0.0,226.056,0.0
75,2018-03-09,8.266666666666667,96.57258,50005.0,,,,,,,,,,,,,,,,,,,,,,,,
76,2018-03-10,7.2,93.071594,,,,,,,,,136.0,0.0,0.0,,176.0,0.0,,,96.0,0.0,0.0,0.0,59.38455,0.0,0.0,315.881,0.0
77,2018-03-11,7.416666666666667,93.04933,50003.0,,,,,,,,136.0,0.0,0.0,,189.0,0.0,,,69.0,0.0,0.0,0.0,44.9673,0.0,0.0,239.183,0.0
78,2018-03-12,5.716666666666667,96.22093,,,,,,,,,,,,,,,,,,,,,,,,,
79,2018-03-13,8.2,95.13184,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,30.0,0.0,0.0,252.0,0.0
80,2018-03-14,8.216666666666667,95.13184,,,,,,,,,,,,,,,,,,,,,,,,,
81,2018-03-15,6.783333333333333,91.66667,50003.0,,,,,62.333333333333336,65.0,58.0,,,,,,,,,,,,,,,,,
82,2018-03-16,7.916666666666667,95.16807,,,,,,,,,,,,,,,,,,,,,,,,,
83,2018-03-17,7.983333333333333,91.89049425469729,,,,,,,,,,,,,,,,,,,,,,,,,
84,2018-03-18,7.1,95.07042,,,,,,,,,,,,,,,,,,,,,,,,,
85,2018-03-19,7.216666666666667,93.7788,,,,,,,,,0.0,0.0,1.7042558999999995,,0.0,0.0,2.7222223,,0.0,0.0,0.0,0.0,14.0689,0.0,0.0,78.03,1048.83
86,2018-03-20,7.0,94.299286,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,20.0,0.0,0.0,168.0,0.0
87,2018-03-21,8.85,94.406582,,,,,,71.0,71.0,71.0,,,,,,,,,,,,,,,,,
88,2018-03-22,4.433333333333334,92.85714,,,,,,57.0,0.0,0.0,,,,,,,,,,,,,,,,,
89,2018-03-23,8.15,90.01969553374234,,,,,,,,,,,,,,,,,,,,,,,,,
90,2018-03-24,7.566666666666666,91.86813,,,,,,,,,,,,,,,,,,,,,,,,,
91,2018-03-25,5.183333333333334,91.025635,,,,,,71.0,0.0,0.0,,,,,,,,,,,,,,,,,
92,2018-03-26,6.55,94.416245,,,,,,,,,,,,,,,,,,,,,,,,,
93,2018-03-27,8.35,93.01397,,,,,,,,,0.0,0.0,1.5426666,,0.0,0.0,1.6666666,,0.0,0.0,0.0,0.0,13.9729,0.0,0.0,64.84,1048.597
94,2018-03-28,7.7,93.952484,,,,,,,,,,,,,,,,,,,,,,,,,
95,2018-03-29,7.45,93.52679,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,25.0,0.0,0.0,210.0,0.0
96,2018-03-30,6.783333333333333,94.34889,,,,,,63.0,0.0,0.0,,,,,,,,,,,,,,,,,
97,2018-03-31,8.133333333333333,94.672134,,,,,,,,,133.0,0.0,0.0,,180.0,0.0,,,93.0,0.0,0.0,0.0,66.32395,0.0,0.0,352.825,0.0
98,2018-04-01,5.95,94.97207,,,,,,,,,,,,,,,,,,,,,,,,,
99,2018-04-02,6.916666666666667,92.78847,,,,,,,,,,,,,,,,,,,,,,,,,
100,2018-04-03,9.183333333333334,94.19238,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,30.0,0.0,0.0,252.0,0.0
101,2018-04-04,7.9,92.2057524050633,,,,,,,,,0.0,0.0,1.62591435,,0.0,0.0,3.6944444,,0.0,0.0,0.0,0.0,24.847099999999998,0.0,0.0,144.51,2197.15
102,2018-04-05,7.866666666666666,93.02326,,,,,,,,,,,,,,,,,,,,,,,,,
103,2018-04-06,8.6,79.74076973684211,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,35.0,0.0,0.0,294.0,0.0
104,2018-04-07,6.55,94.67005,,,,,,,,,124.0,0.0,0.0,,172.0,0.0,,,59.0,0.0,0.0,0.0,48.47656666666666,0.0,0.0,257.871,0.0
105,2018-04-08,8.966666666666667,78.02334746268656,,,,,,65.0,0.0,0.0,,,,,,,,,,,,,,,,,
106,2018-04-09,6.95,95.69378,,,,,,,,,,,,,,,,,,,,,,,,,
107,2018-04-10,4.866666666666666,92.83276,,,,,,,,,,,,,,,,,,,,,,,,,
108,2018-04-11,7.7,91.36069,,,,,,71.0,0.0,0.0,,,,,,,,,,,,,,,,,
